candidate,twitter_handle,twitter_handle2,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,primary_pctg,won_primary,rep_party_support,trump_endorsed,bannon_endorsed,great_america_endorsed,nra_endorsed,right_to_life_endorsed,susan_b_anthony_endorsed,club_for_growth_endorsed,koch_support,house_freedom_support,tea_party_endorsed,main_street_endorsed,chamber_endorsed,no_labels_support,count_negative,count_neutral,count_positive,sentiment
Nnabu Eze,eze4senate,,MD,U.S. Senate Maryland,Senator,Regular,6/26/18,Lost,None,None,1.96,No,,,,,,No,,,,,,,,,0,0,0,
Evan Cronhardt,EvanCronhardt,,MD,U.S. Senate Maryland,Senator,Regular,6/26/18,Lost,None,None,2.53,No,,,,,,No,,,,,,,,,0,0,0,
Christina Grigorian,GrigorianSenate,,MD,U.S. Senate Maryland,Senator,Regular,6/26/18,Lost,None,None,17.48,No,,,,,,No,,,,,,,,,0,0,0,
Bill Krehnbrink,CoachforPOTUS,,MD,U.S. Senate Maryland,Senator,Regular,6/26/18,Lost,None,None,2.05,No,,,,,,No,,,,,,,,,0,0,0,
Gerald Smith,,,MD,U.S. Senate Maryland,Senator,Regular,6/26/18,Lost,None,None,4.3,No,,,,,,No,,,,,,,,,,,,
Albert Howard,binyahminhoward,,MD,U.S. Senate Maryland,Senator,Regular,6/26/18,Lost,None,None,1.55,No,,,,,,No,,,,,,,,,0,0,0,
Shawn Moody,Moody4Gov,,ME,Governor of Maine,Governor,Regular,6/12/18,Advanced,None,On the Ballot,52.6,Yes,,,,,,,,,,,,,,,0,0,0,
Garrett Mason,garrettmason,,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,None,None,21.23,No,,,,,,,,,,,,,,,0,0,0,
Mary Mayhew,mayhewformaine,,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,None,None,13.82,No,,,,,,,,,,,,,,,0,0,0,
Kenneth Fredette,KenFredetteME,,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,None,None,5.26,No,,,,,,,,,,,,,,,0,0,0,
Eric Brakey,SenatorBrakey,,ME,U.S. Senate Maine,Senator,Regular,6/12/18,Advanced,None,On the Ballot,100,Yes,,,,,,,,,,,,,,,0,0,0,
Kevin Powers,Powers4Congress,,MA,U.S. House Massachusetts District 2,Representative,Regular,9/4/18,Lost,None,None,39.2,No,,,,,,,,,,,,,,,0,0,0,
Tracy Lovvorn,Tracy4Congress,,MA,U.S. House Massachusetts District 2,Representative,Regular,9/4/18,Advanced,None,On the Ballot,60.8,Yes,,,,,,,,,,,,,,,0,0,0,
Rick Green,RickGreenMA,,MA,U.S. House Massachusetts District 3,Representative,Regular,9/4/18,Advanced,None,On the Ballot,100,Yes,Yes,,,,,,,,Yes,,,,,,0,0,0,
John Hugo,HugoCongress,,MA,U.S. House Massachusetts District 5,Representative,Regular,9/4/18,Advanced,None,On the Ballot,63.7,Yes,,,,,,Yes,,,,,,,,,0,0,0,
Louis Kuchnir,,,MA,U.S. House Massachusetts District 5,Representative,Regular,9/4/18,Lost,None,None,36.3,No,,,,,,No,,,,,,,,,,,,
Joseph Schneider,JoeSchneiderMA,,MA,U.S. House Massachusetts District 6,Representative,Regular,9/4/18,Advanced,None,On the Ballot,100,Yes,,,,,,,,,,,,,,,0,0,0,
Peter Tedeschi,PDTedeschi,,MA,U.S. House Massachusetts District 9,Representative,Regular,9/4/18,Advanced,None,On the Ballot,100,Yes,Yes,,,,,,,,,,,,,,0,0,0,
Geoff Diehl,RepGeoffDiehl,DiehlForSenate,MA,U.S. Senate Massachusetts,Senator,Regular,9/4/18,Advanced,None,On the Ballot,55.3,Yes,,,,,Yes,,,,,,,,,,0,0,0,
John Kingston,johnkingstonma,,MA,U.S. Senate Massachusetts,Senator,Regular,9/4/18,Lost,None,None,26.7,No,,,,,No,,,,,,,,,,0,0,0,
Beth Lindstrom,BethLindstrom,,MA,U.S. Senate Massachusetts,Senator,Regular,9/4/18,Lost,None,None,17.9,No,,,,,No,,,,,,,,,,0,0,0,
Jim Hines,hines4michigan,,MI,Governor of Michigan,Governor,Regular,8/7/18,Lost,None,None,11,No,,No,,,,Yes,No,,,,,,No,,0,0,0,
Brian Calley,briancalley,,MI,Governor of Michigan,Governor,Regular,8/7/18,Lost,None,None,25.2,No,,No,,,,Yes,No,,,,,,No,,0,0,0,
Patrick Colbeck,pjcolbeck,,MI,Governor of Michigan,Governor,Regular,8/7/18,Lost,None,None,13.1,No,,No,,,,Yes,No,,,,,,No,,0,0,0,
William Duncan "Bill" Schuette,SchuetteOnDuty,,MI,Governor of Michigan,Governor,Regular,8/7/18,Advanced,None,On the Ballot,50.7,Yes,,Yes,,,,Yes,No,,,,,,Yes,,0,0,0,
Kerry Bentivolio,RepKerryB,KerryB4Congress,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Lost,None,None,11.3,No,,,,,,Yes,No,,No,,,,,,0,0,0,
Klint Kesto,KlintKesto,,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Lost,None,None,14,No,Yes,,,,,Yes,No,,No,,,,,,0,0,0,
Mike Kowall,MikeKowall,,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Lost,None,None,18.6,No,Yes,,,,,Yes,No,,No,,,,,,0,0,0,
Rocky Raczkowski,rockyraczkowski,,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Lost,None,None,25.4,No,Yes,,,,,Yes,No,,No,,,,,,0,0,0,
Lena Epstein,LenaEpstein,,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Advanced,None,On the Ballot,30.7,Yes,Yes,,,,,Yes,Yes,,Yes,,,,,,0,0,0,
Jeff Jones,Vote_JeffJones,,MI,U.S. House Michigan District 12,Representative,Regular,8/7/18,Advanced,None,On the Ballot,100,Yes,,,,,,,,,No,,,,,,0,0,0,
Marc Herschfus,,,MI,U.S. House Michigan District 14,Representative,Regular,8/7/18,Advanced,None,On the Ballot,100,Yes,,,,,,,,,No,,,,,,,,,
Travis Wines,TWines4congress,Wines4Congress,MI,U.S. House Michigan District 5,Representative,Regular,8/7/18,Advanced,None,On the Ballot,100,Yes,,,,,,,,,No,,,,,,0,0,0,
Candius Stearns,CandiusStearns,,MI,U.S. House Michigan District 9,Representative,Regular,8/7/18,Advanced,None,On the Ballot,100,Yes,Yes,,,,,Yes,Yes,,No,,,,,,0,0,0,
John James,JohnJamesMI,,MI,U.S. Senate Michigan,Senator,Regular,8/7/18,Advanced,None,On the Ballot,54.7,Yes,,Yes,,,,Yes,Yes,,,,,,Yes,,99,194,1309,3.5106117353308366
Sandy Pensler,SandyPensler,,MI,U.S. Senate Michigan,Senator,Regular,8/7/18,Lost,None,None,45.3,No,,No,,,,No,No,,,,,,No,,42,36,135,2.8732394366197185
Jeff Johnson,MNJeffJohnson,,MN,Governor of Minnesota,Governor,Regular,8/14/18,Advanced,None,On the Ballot,52.6,Yes,,,,,,,,,,,,,No,,183,262,579,2.7734375
Tim Pawlenty,TimPawlenty,,MN,Governor of Minnesota,Governor,Regular,8/14/18,Lost,None,None,43.9,No,,,,,,,,,,,,,Yes,,21,6,54,2.814814814814815
Matt Kruse,,,MN,Governor of Minnesota,Governor,Regular,8/14/18,Lost,None,None,3.5,No,,,,,,,,,,,,,No,,,,,
Jim Hagedorn,JimHagedornMN,RepHagedorn,MN,U.S. House Minnesota District 1,Representative,Regular,8/14/18,Advanced,None,On the Ballot,60.2,Yes,Yes,,,,,,No,,,,,,,,19,28,300,3.6195965417867435
Carla Nelson,CarlaNelsonMN,,MN,U.S. House Minnesota District 1,Representative,Regular,8/14/18,Lost,None,None,32.1,No,Yes,,,,,,Yes,,,,,,,,23,37,154,3.2242990654205608
Andrew Candler,,,MN,U.S. House Minnesota District 1,Representative,Regular,8/14/18,Lost,None,None,2.6,No,No,,,,,,No,,,,,,,,,,,
Steve Williams,,,MN,U.S. House Minnesota District 1,Representative,Regular,8/14/18,Lost,None,None,5.1,No,No,,,,,,No,,,,,,,,,,,
Greg Ryan,GregTRyan4US,,MN,U.S. House Minnesota District 4,Representative,Regular,8/14/18,Advanced,None,On the Ballot,100,Yes,,,,,,,,,,,,,,,6,2,30,3.263157894736842
Jennifer Zielinski,jen4congress,,MN,U.S. House Minnesota District 5,Representative,Regular,8/14/18,Advanced,None,On the Ballot,56.5,Yes,,,,,,,,,,,,,,,0,0,0,
Christopher Chamberlin,realChamberlin,Chamberlin4MN,MN,U.S. House Minnesota District 5,Representative,Regular,8/14/18,Lost,None,None,32.5,No,,,,,,,,,,,,,,,84,87,262,2.8221709006928406
Bob Carney Jr.,,,MN,U.S. House Minnesota District 5,Representative,Regular,8/14/18,Lost,None,None,11,No,,,,,,,,,,,,,,,,,,
Dave Hughes,DHughesCongress,,MN,U.S. House Minnesota District 7,Representative,Regular,8/14/18,Advanced,None,On the Ballot,72.6,Yes,,,,,,,,,,,,,,,49,73,453,3.405217391304348
Matt Prosch,MattProsch4MN,,MN,U.S. House Minnesota District 7,Representative,Regular,8/14/18,Lost,None,None,27.4,No,,,,,,,,,,,,,,,2,2,11,3.2
Pete Stauber,PeteStauber,RepPeteStauber,MN,U.S. House Minnesota District 8,Representative,Regular,8/14/18,Advanced,None,On the Ballot,89.7,Yes,Yes,Yes,,,,,,,Yes,,,,,,65,68,559,3.4277456647398843
Harry Welty,,,MN,U.S. House Minnesota District 8,Representative,Regular,8/14/18,Lost,None,None,10.3,No,No,No,,,,,,,No,,,,,,,,,
Jim Newberger,NewbergerJim,,MN,U.S. Senate Minnesota,Senator,Regular,8/14/18,Advanced,None,On the Ballot,69.5,Yes,,,,,,No,No,,,,,,,,31,25,140,3.1122448979591835
Karin Housley,KarinHousley,,MN,U.S. Senate Minnesota,Senator,Special,8/14/18,Advanced,None,On the Ballot,62,Yes,,,,,,Yes,Yes,,,,,,,,154,151,1209,3.3936591809775427
Merrill Anderson,,,MN,U.S. Senate Minnesota,Senator,Regular,8/14/18,Lost,None,None,15.7,No,,,,,,No,No,,,,,,,,,,,
Bob Anderson,paxilbob,,MN,U.S. Senate Minnesota,Senator,Special,8/14/18,Lost,None,None,35.6,No,,,,,,No,No,,,,,,,,168,161,490,2.786324786324786
Roque De La Fuente,JoinRocky,,MN,U.S. Senate Minnesota,Senator,Regular,8/14/18,Lost,None,None,5.9,No,,,,,,No,No,,,,,,,,0,0,0,
Rae Hart Anderson,RaeHartAnderso1,,MN,U.S. Senate Minnesota,Senator,Regular,8/14/18,Lost,None,None,5.9,No,,,,,,No,No,,,,,,,,32,37,117,2.913978494623656
Nikolay Nikolayevich Bey,,,MN,U.S. Senate Minnesota,Senator,Special,8/14/18,Lost,None,None,2.5,No,,,,,,No,No,,,,,,,,,,,
Camille Lombardi-Olive,,,MO,U.S. House Missouri District 1,Representative,Regular,8/7/18,Lost,None,None,32.6,No,,,,,,,,,,,,,,,,,,
Edward Van Deventer Jr.,Edforthepeople,,MO,U.S. House Missouri District 1,Representative,Regular,8/7/18,Lost,None,None,32.9,No,,,,,,,,,,,,,,,3,4,7,2.5714285714285716
Robert Vroman,vroman_robert,,MO,U.S. House Missouri District 1,Representative,Regular,8/7/18,Advanced,None,On the Ballot,34.5,Yes,,,,,,,,,,,,,,,0,0,2,4.0
Kress Cambers,KressFCambers,,MO,U.S. House Missouri District 5,Representative,Regular,8/7/18,Lost,None,None,17.6,No,,,,,,No,,,,,,,,,46,56,160,2.8702290076335877
Richonda Oaks,,,MO,U.S. House Missouri District 5,Representative,Regular,8/7/18,Lost,None,None,7.3,No,,,,,,No,,,,,,,,,,,,
Jacob Turk,JacobTurk,,MO,U.S. House Missouri District 5,Representative,Regular,8/7/18,Advanced,None,On the Ballot,75.1,Yes,,,,,,Yes,,,,,,,,,13,15,52,2.975
Austin Petersen,AP4Liberty,,MO,U.S. Senate Missouri,Senator,Regular,8/7/18,Lost,None,None,8.3,No,,No,No,No,,No,,No,No,,,,,,1249,1555,3397,2.6927914852443156
Josh Hawley,HawleyMO,,MO,U.S. Senate Missouri,Senator,Regular,8/7/18,Advanced,None,On the Ballot,58.6,Yes,,Yes,Yes,Yes,,Yes,,Yes,Yes,,,,,,142,179,552,2.939289805269187
Tony Monetti,TonyMonetti,Monetti4Senate,MO,U.S. Senate Missouri,Senator,Regular,8/7/18,Lost,None,None,9.8,No,,No,No,No,,No,,No,No,,,,,,0,0,2,4.0
Courtland Sykes,Courtland_Sykes,SykesforSenate,MO,U.S. Senate Missouri,Senator,Regular,8/7/18,Lost,None,None,2.1,No,,No,No,No,,No,,No,No,,,,,,0,0,1,4.0
Brian Hagg,,,MO,U.S. Senate Missouri,Senator,Regular,8/7/18,Lost,None,None,1,No,,No,No,No,,No,,No,No,,,,,,,,,
Ken Patterson,,,MO,U.S. Senate Missouri,Senator,Regular,8/7/18,Lost,None,None,2.9,No,,No,No,No,,No,,No,No,,,,,,,,,
Peter Pfeifer,PeterPfeifer18,,MO,U.S. Senate Missouri,Senator,Regular,8/7/18,Lost,None,None,2.5,No,,No,No,No,,No,,No,No,,,,,,8,27,82,3.264957264957265
Christina Smith,Smithussenate,,MO,U.S. Senate Missouri,Senator,Regular,8/7/18,Lost,None,None,5.3,No,,No,No,No,,No,,No,No,,,,,,4,8,57,3.536231884057971
Bradley Krembs,,,MO,U.S. Senate Missouri,Senator,Regular,8/7/18,Lost,None,None,0.7,No,,No,No,No,,No,,No,No,,,,,,,,,
Kristi Nichols,Kristi414US,,MO,U.S. Senate Missouri,Senator,Regular,8/7/18,Lost,None,None,7.5,No,,No,No,No,,No,,No,No,,,,,,3,3,25,3.4193548387096775
Fred Ryman,,,MO,U.S. Senate Missouri,Senator,Regular,8/7/18,Lost,None,None,1.3,No,,No,No,No,,No,,No,No,,,,,,,,,
Whit Hughes,,,MS,U.S. House Mississippi District 3,Representative,Regular,6/5/18,Advanced,Lost,None,22.24,No,,,,,,,,,,,Yes,,,,,,,
Michael Guest,GuestCongress,,MS,U.S. House Mississippi District 3,Representative,Regular,6/5/18,Advanced,Advanced,On the Ballot,44.84,Yes,,,,,,,,,,,No,,,,26,47,368,3.5510204081632653
Sally Doty,SallyDoty,DotyforCongress,MS,U.S. House Mississippi District 3,Representative,Regular,6/5/18,Lost,None,None,10.16,No,,,,,,,,,,,No,,,,18,10,108,3.323529411764706
Perry Parker,perryparker23,,MS,U.S. House Mississippi District 3,Representative,Regular,6/5/18,Lost,None,None,16.24,No,,,,,,,,,,,No,,,,12,17,61,3.088888888888889
Morgan Dunn,morgandunn_ms,DunnCongress,MS,U.S. House Mississippi District 3,Representative,Regular,6/5/18,Lost,None,None,5.87,No,,,,,,,,,,,No,,,,1,3,38,3.761904761904762
Katherine Tate,,,MS,U.S. House Mississippi District 3,Representative,Regular,6/5/18,Lost,None,None,0.64,No,,,,,,,,,,,No,,,,,,,
Matt Rosendale,MattForMontana,,MT,U.S. Senate Montana,Senator,Regular,6/5/18,Advanced,None,On the Ballot,33.82,Yes,,,Yes,Yes,,,,Yes,,,Yes,,,,88,156,596,3.2095238095238097
Albert Olszewski,OlszewskiAl,alformontana,MT,U.S. Senate Montana,Senator,Regular,6/5/18,Lost,None,None,18.7,No,,,No,No,,,,No,,,No,,,,0,0,0,
Russell C. Fagg,russforussenate,,MT,U.S. Senate Montana,Senator,Regular,6/5/18,Lost,None,None,28.34,No,,,No,No,,,,No,,,No,,,,15,41,127,3.2240437158469946
Troy Downing,TroyDowningMT,,MT,U.S. Senate Montana,Senator,Regular,6/5/18,Lost,None,None,19.12,No,,,No,No,,,,No,,,No,,,,41,58,276,3.2533333333333334
Roger Allison,RogerWAllison,,NC,U.S. House North Carolina District 1,Representative,Regular,5/8/18,Advanced,None,On the Ballot,100,Yes,,,,,,,,,,,,,,,133,115,265,2.5146198830409356
Paul Wright,,,NC,U.S. House North Carolina District 12,Representative,Regular,5/8/18,Advanced,None,On the Ballot,43.21,Yes,,,,,,,,,,,,,,,,,,
Paul Bonham,,,NC,U.S. House North Carolina District 12,Representative,Regular,5/8/18,Lost,None,None,31.51,No,,,,,,,,,,,,,,,,,,
Carl Persson,cp4usc,,NC,U.S. House North Carolina District 12,Representative,Regular,5/8/18,Lost,None,None,25.29,No,,,,,,,,,,,,,,,8,7,18,2.606060606060606
Steve Von Loor,steveavonloor,,NC,U.S. House North Carolina District 4,Representative,Regular,5/8/18,Advanced,None,On the Ballot,100,Yes,,,,,,,,,,,,,,,119,156,349,2.7371794871794872
Kelly Armstrong,Armstrong_ND,,ND,U.S. House North Dakota At-large District,Representative,Regular,6/12/18,Advanced,None,On the Ballot,56.22,Yes,,,,,,,,,,,,,,,2,5,162,3.893491124260355
Kelly Armstrong,RepArmstrongND,,ND,U.S. House North Dakota At-large District,Representative,Regular,6/12/18,Advanced,None,On the Ballot,56.22,Yes,,,,,,,,,,,,,,,0,0,0,
Tom Campbell,tomfornd,,ND,U.S. House North Dakota At-large District,Representative,Regular,6/12/18,Lost,None,None,26.87,No,,,,,,,,,,,,,,,10,29,153,3.4895833333333335
Tiffany Abentroth,abentrothfornd,,ND,U.S. House North Dakota At-large District,Representative,Regular,6/12/18,Lost,None,None,8.91,No,,,,,,,,,,,,,,,17,12,125,3.4025974025974026
Paul Schaffner,,,ND,U.S. House North Dakota At-large District,Representative,Regular,6/12/18,Lost,None,None,7.89,No,,,,,,,,,,,,,,,,,,
Kevin Cramer,kevincramer,,ND,U.S. Senate North Dakota,Senator,Regular,6/12/18,Advanced,None,On the Ballot,87.73,Yes,,Yes,,,,Yes,,,,,,,,,41,29,233,3.267326732673267
Thomas O'Neill,,,ND,U.S. Senate North Dakota,Senator,Regular,6/12/18,Lost,None,None,12.13,No,,No,,,,No,,,,,,,,,,,,
Andy Martin,AndyMartinUSA,,NH,U.S. House New Hampshire District 1,Representative,Regular,9/11/18,Lost,None,None,4.2,No,No,,,,No,,,,,,,,,,23,16,13,1.6153846153846154
Andy Sanborn,SenatorSanborn,,NH,U.S. House New Hampshire District 1,Representative,Regular,9/11/18,Lost,None,None,41.6,No,Yes,,,,Yes,,,,,,,,,,37,57,376,3.442553191489362
Eddie Edwards,EddieEdwardsNH,,NH,U.S. House New Hampshire District 1,Representative,Regular,9/11/18,Advanced,None,On the Ballot,48,Yes,Yes,,,,No,,,,,,,,,,41,44,465,3.541818181818182
Bruce Crochetiere,BruceforNH,,NH,U.S. House New Hampshire District 1,Representative,Regular,9/11/18,Lost,None,None,1.6,No,No,,,,No,,,,,,,,,,0,2,83,3.9529411764705884
Michael Callis,,,NH,U.S. House New Hampshire District 1,Representative,Regular,9/11/18,Lost,None,None,2.6,No,No,,,,No,,,,,,,,,,,,,
Lynne Blankenbeker,BlankenbekerNH,,NH,U.S. House New Hampshire District 2,Representative,Regular,9/11/18,Lost,None,None,22.9,No,No,,,,,,Yes,,,,,,,,11,9,90,3.4363636363636365
Steve Negron,Negron4Congress,,NH,U.S. House New Hampshire District 2,Representative,Regular,9/11/18,Advanced,None,On the Ballot,26,Yes,Yes,,,,,,No,,,,,,,,20,23,217,3.5153846153846153
Stewart Levenson,Dr_Levenson_NH,,NH,U.S. House New Hampshire District 2,Representative,Regular,9/11/18,Lost,None,None,25.3,No,Yes,,,,,,No,,,,,,,,36,22,253,3.395498392282958
Brian Belanger,belanger4nh,,NH,U.S. House New Hampshire District 2,Representative,Regular,9/11/18,Lost,None,None,5.6,No,No,,,,,,No,,,,,,,,0,2,3,3.2
Bob Burns,BurnsForNH,,NH,U.S. House New Hampshire District 2,Representative,Regular,9/11/18,Lost,None,None,15.9,No,No,,,,,,No,,,,,,,,7,7,37,3.176470588235294
Gerard Beloin,GerardBeloin,,NH,U.S. House New Hampshire District 2,Representative,Regular,9/11/18,Lost,None,None,1.5,No,No,,,,,,No,,,,,,,,7,8,19,2.7058823529411766
Jay Mercer,,,NH,U.S. House New Hampshire District 2,Representative,Regular,9/11/18,Lost,None,None,2.9,No,No,,,,,,No,,,,,,,,,,,
Paul Dilks,PaulDilks,,NJ,U.S. House New Jersey District 1,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100,Yes,,,,,,,,,,,,,,,33,44,121,2.888888888888889
Agha Khan,,,NJ,U.S. House New Jersey District 10,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100,Yes,,,,,,,,,,,,,,,,,,
Jay Webber,JayWebberNJ,,NJ,U.S. House New Jersey District 11,Representative,Regular,6/5/18,Advanced,None,On the Ballot,40.04,Yes,Yes,,,,,,Yes,,,,,,,,80,84,416,3.1586206896551725
Martin Hewitt,VoteHewitt2018,,NJ,U.S. House New Jersey District 11,Representative,Regular,6/5/18,Lost,None,None,3.48,No,No,,,,,No,No,,,,,,,,42,48,150,2.9
Antony Ghee,antonyghee,,NJ,U.S. House New Jersey District 11,Representative,Regular,6/5/18,Lost,None,None,21.93,No,Yes,,,,,No,No,,,,,,,,0,3,5,3.25
Patrick Allocco,psallocco,,NJ,U.S. House New Jersey District 11,Representative,Regular,6/5/18,Lost,None,None,4.1,No,No,,,,,No,No,,,,,,,,4,4,25,3.272727272727273
Peter de Neufville,,,NJ,U.S. House New Jersey District 11,Representative,Regular,6/5/18,Lost,None,None,30.45,No,Yes,,,,,No,No,,,,,,,,,,,
Daryl Kipnis,Kipnis4Congress,,NJ,U.S. House New Jersey District 12,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100,Yes,,,,,,No,,,,,,,,,119,145,232,2.4556451612903225
Seth Grossman,Grossman4NJ,,NJ,U.S. House New Jersey District 2,Representative,Regular,6/5/18,Advanced,None,On the Ballot,39.05,Yes,,,,,,No,,,,,,,,,164,140,155,1.9607843137254901
Samuel Fiocchi,,,NJ,U.S. House New Jersey District 2,Representative,Regular,6/5/18,Lost,None,None,23.35,No,,,,,,No,,,,,,,,,,,,
Hirsh Singh,HirshSingh,,NJ,U.S. House New Jersey District 2,Representative,Regular,6/5/18,Lost,None,None,30.52,No,,,,,,No,,,,,,,,,4,3,12,2.8421052631578947
Robert Turkavage,,,NJ,U.S. House New Jersey District 2,Representative,Regular,6/5/18,Lost,None,None,7.09,No,,,,,,No,,,,,,,,,,,,
John McCann,realJohnMcCann,,NJ,U.S. House New Jersey District 5,Representative,Regular,6/5/18,Advanced,None,On the Ballot,53.05,Yes,Yes,,,,,No,,,,,No,,,,3,1,12,3.125
Steve Lonegan,Lonegan,,NJ,U.S. House New Jersey District 5,Representative,Regular,6/5/18,Lost,None,None,46.95,No,Yes,,,,,Yes,,,,,Yes,,,,32,37,148,3.0691244239631335
Rich Pezzullo,RichPezzulloNJ,,NJ,U.S. House New Jersey District 6,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100,Yes,,,,,,,,,,,,,,,52,40,122,2.6542056074766354
John Muniz,,,NJ,U.S. House New Jersey District 8,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100,Yes,,,,,,,,,,,,,,,,,,
Eric Fisher,,,NJ,U.S. House New Jersey District 9,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100,Yes,,,,,,,,,,,,,,,,,,
Bob Hugin,BobHugin,,NJ,U.S. Senate New Jersey,Senator,Regular,6/5/18,Advanced,None,On the Ballot,75.13,Yes,,,,,,,,,,,,,,,269,204,477,2.437894736842105
Brian Goldberg,Brian4NJ,,NJ,U.S. Senate New Jersey,Senator,Regular,6/5/18,Lost,None,None,24.87,No,,,,,,,,,,,,,,,36,61,244,3.219941348973607
Steve Pearce,Pearce4NM,,NM,Governor of New Mexico,Governor,Regular,6/5/18,Advanced,None,On the Ballot,100,Yes,,,,,,,,,,,,,,,102,64,652,3.3447432762836184
Janice Arnold-Jones,LadySunshineNM,,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100,Yes,,,,,,,,,,,,,,,14,30,134,3.348314606741573
Yvette Herrell,Yvette4congress,,NM,U.S. House New Mexico District 2,Representative,Regular,6/5/18,Advanced,None,On the Ballot,49,Yes,Yes,,,,Yes,,Yes,,,Yes,,,,,16,20,108,3.2777777777777777
Monty Newman,MontyNewmanNM,,NM,U.S. House New Mexico District 2,Representative,Regular,6/5/18,Lost,None,None,32.03,No,Yes,,,,No,,No,,,No,,,,,0,0,8,4.0
Gavin Clarkson,DrGavinClarkson,,NM,U.S. House New Mexico District 2,Representative,Regular,6/5/18,Lost,None,None,12.42,No,,,,,No,,No,,,No,,,,,86,59,57,1.7128712871287128
Clayburn Griffin,Clayburn,,NM,U.S. House New Mexico District 2,Representative,Regular,6/5/18,Lost,None,None,6.55,No,,,,,No,,No,,,No,,,,,327,375,783,2.614141414141414
Jerald Steve McFall,jstevemcfall,,NM,U.S. House New Mexico District 3,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100,Yes,,,,,,,,,,,,,,,10,4,19,2.5454545454545454
Mick Rich,MickRich4Senate,,NM,U.S. Senate New Mexico,Senator,Regular,6/5/18,Advanced,None,On the Ballot,100,Yes,,,,,,,,,,,,,,,86,81,259,2.812206572769953
Adam Laxalt,AdamLaxalt,,NV,Governor of Nevada,Governor,Regular,6/12/18,Advanced,None,On the Ballot,71.49,Yes,,Yes,,,Yes,,,,Yes,,,,,,68,77,865,3.5782178217821783
Dan Schwartz,AdamLaxalt,,NV,Governor of Nevada,Governor,Regular,6/12/18,Lost,None,None,9.09,No,,No,,,No,,,,No,,,,,,68,77,865,3.5782178217821783
Frederick Conquest,conquest4nevada,,NV,Governor of Nevada,Governor,Regular,6/12/18,Lost,None,None,0.54,No,,No,,,No,,,,No,,,,,,0,0,4,4.0
Stephanie Carlisle,Carlisle4Nevada,,NV,Governor of Nevada,Governor,Regular,6/12/18,Lost,None,None,4.5,No,,No,,,No,,,,No,,,,,,1,3,29,3.696969696969697
Jared Fisher,fisherfornevada,,NV,Governor of Nevada,Governor,Regular,6/12/18,Lost,None,None,4.71,No,,No,,,No,,,,No,,,,,,19,30,407,3.7017543859649122
Bill Boyd,boydfornevada,,NV,Governor of Nevada,Governor,Regular,6/12/18,Lost,None,None,4.24,No,,No,,,No,,,,No,,,,,,31,27,55,2.424778761061947
Edward Dundas,,,NV,Governor of Nevada,Governor,Regular,6/12/18,Lost,None,None,0.41,No,,No,,,No,,,,No,,,,,,,,,
Stan Lusak,,,NV,Governor of Nevada,Governor,Regular,6/12/18,Lost,None,None,0.71,No,,No,,,No,,,,No,,,,,,,,,
Joyce Bentley,JoyceBentleyCD1,,NV,U.S. House Nevada District 1,Representative,Regular,6/12/18,Advanced,None,On the Ballot,55.18,Yes,,,,,,,,,,,,,,,7,13,19,2.6153846153846154
Freddy Horne,,,NV,U.S. House Nevada District 1,Representative,Regular,6/12/18,Lost,None,None,44.82,No,,,,,,,,,,,,,,,,,,
Danny Tarkanian,DannyTarkanian,,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Advanced,None,On the Ballot,44.13,Yes,,Yes,Yes,,No,Yes,,,,,,,,,209,160,514,2.690826727066818
Annette Teijeiro,AnnetteTeijeiro,,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,None,3.54,No,,,No,,No,No,,,,,,,,,558,493,1109,2.5101851851851853
Eddie Hamilton,ethamilton123,,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,None,1.04,No,,,No,,No,No,,,,,,,,,0,0,0,
Scott Hammond,hammond4nevada,,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,None,16.79,No,,,No,,Yes,No,,,,,,,,,15,13,144,3.5
Patrick Carter,,,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,None,2.72,No,,,No,,No,No,,,,,,,,,,,,
David McKeon,McKeonForNevada,,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,None,4.91,No,,,No,,No,No,,,,,,,,,2,2,34,3.6842105263157894
